,Bostezo,perCLOS,IndicadorE,IndBostezo
0,0.1,0.9462307168379791,0,0
1,0.1,1.0,0,0
2,0.1,0.9852079649990563,0,0
3,0.1,0.972344082557731,0,0
4,0.1,0.8696830022043349,0,0
5,0.1,0.924882842739714,0,0
6,0.1,0.9102764245388218,0,0
7,0.1,0.8646420506166568,0,0
8,0.1,0.9410509395945337,0,0
9,0.1,0.9929428633170339,0,0
10,0.1,1.0,0,0
11,0.1,0.9681898293717719,0,0
12,0.1,0.9567016214997386,0,0
13,0.1,0.9664596692852221,0,0
14,0.1,0.9850708327318312,0,0
15,0.1,0.9906357503391169,0,0
16,0.1,0.9624956116956849,0,0
17,0.1,0.9523563761971751,0,0
18,0.1,0.98342157979137,0,0
19,0.1,0.9118484021125834,0,0
20,0.1,0.9185515804659673,0,0
21,0.1,0.9598049251677596,0,0
22,0.1,1.0,0,0
23,0.1,0.9967213957166333,0,0
24,0.1,1.0,0,0
25,0.1,1.0,0,0
26,0.1,1.0,0,0
27,0.1,0.9700875036302401,0,0
28,0.1,0.9906357503391169,0,0
29,0.1,1.0,0,0
30,0.1,1.0,0,0
31,0.1,1.0,0,0
32,0.1,1.0,0,0
33,0.1,1.0,0,0
34,0.1,0.9822056484860863,0,0
35,0.1,1.0,0,0
36,0.1,0.925991287681566,0,0
37,0.1,0.9489973838411796,0,0
